Timestamp,Team Number (OF THE TEAM YOU'RE TAKING THE PICTURE OF),Photo (clear view; no people blocking please; MAKE SURE THE ROBOT MATCHES WITH THE NUMBER YOU PUT ABOVE)
3/14/2024 19:58:41,3005,https://drive.google.com/open?id=1JwWo75BxzzJSb8WKaL4tP0Jdk8ekrxIv
3/14/2024 19:59:22,3310,https://drive.google.com/open?id=1-cCWytebLBewpp1gOdNvbgbOJzdlMjE5
3/14/2024 20:08:28,9081,https://drive.google.com/open?id=1-kuW1QvtEhvykZA7W53hdvicou13p2Xh
3/14/2024 20:10:38,6672,https://drive.google.com/open?id=1oecvpCPawk-Ka1aaamfzGP-DWp8q1sqm
3/14/2024 20:14:08,5411,https://drive.google.com/open?id=1dKBv7z_YX4L0rOjOBAobjGhJi6H-YZGQ
3/14/2024 20:15:12,7506,https://drive.google.com/open?id=1F69Sw3vi4XKCHTjS2jLt2xLPKfNfQrGz
3/14/2024 20:21:09,9088,https://drive.google.com/open?id=1mRJNtC9TzzmLQAMSQqDoJvhjA4k0W7q7
3/14/2024 20:21:43,2582,https://drive.google.com/open?id=1NJ38eXdDbCU0ECS9T7hx-95_N8dCbNVv
3/14/2024 20:22:51,418,"https://drive.google.com/open?id=1ekmnz_88Egxw9IBtxeqR6F8VuiKmE4by, https://drive.google.com/open?id=1npHTu7fDDmemOwCNonnmZ2ZIh-2u7CSa, https://drive.google.com/open?id=19fowdgVaxVQQB4JuZ3ZoymFgAk2GDDWf"
3/14/2024 20:26:16,9752,https://drive.google.com/open?id=1AlnNu2C3ijO3RRngiCQvJtDQevEB9YP5
3/14/2024 20:27:16,7534,https://drive.google.com/open?id=1BDJEpFoSLiA0EZ1YyzGa331ubS0nsxyS
3/14/2024 22:39:58,2582,https://drive.google.com/open?id=1sxrJpWBHu_mRBwBbalQ-dVwwZoh9IvhG
3/14/2024 23:34:58,8088,https://drive.google.com/open?id=1nHstiCcoRmx56u9pzhvy2lqvwLFRZldl
3/14/2024 23:36:28,7540,https://drive.google.com/open?id=1Sxmyv_YSf5DUbAjh8-ug6WyqQbCyo7bq
3/15/2024 8:17:01,9080,https://drive.google.com/open?id=1O2qf43M7wprNJrSbw0sJ_rG5XF7Ylfw7
3/15/2024 8:26:20,7492,https://drive.google.com/open?id=1XmuE99eatF6UoSln3gi91xAabQF6QCyv
3/15/2024 8:32:41,4206,https://drive.google.com/open?id=1P5fI9C2McVDWtoXWIeThlxl7LgeNz9dX
3/15/2024 8:33:42,4295,https://drive.google.com/open?id=1FdvFXK3O_ruNaSyZIz6FOzVxl2CO5po6
3/15/2024 8:34:19,4251,https://drive.google.com/open?id=1ZxAIw4jSRHqAzKvwy6wdUjLbD_s_sBT5
,,
,,
3/15/2024 9:06:38,9105,https://drive.google.com/open?id=1_ugGQA5keQRcwKgSv-6USnl7sWnVMyJf
3/15/2024 9:07:32,7503,"https://drive.google.com/open?id=1402gobA1wjgcettgR1MA-xOnLbOatHxL, https://drive.google.com/open?id=1ND4M0M1v7D5VLQiVW1sSiZqJsLCVuyL9"
3/15/2024 9:11:07,9156,https://drive.google.com/open?id=1_p1MinOWgxTcam7WGDUvysFswVYtdChI
3/15/2024 9:40:45,8512,https://drive.google.com/open?id=12rv26Aefu_hcTiUELlUZCvd6I9gMWjgk
3/15/2024 9:46:37,4153,https://drive.google.com/open?id=1gsJR1nBPdJB8h8ACbqgYL2BFeZOhibtP
3/15/2024 9:48:46,5908,https://drive.google.com/open?id=1eg7Liow1J9T87VczsBZUVTnb6ifMDkRE
3/15/2024 9:50:34,9407,"https://drive.google.com/open?id=17U2zrWn_A66Y-srgNzQGzqhf8NM5gBaF, https://drive.google.com/open?id=1wB613y_XGo7iRFMLJOq4gG2LghLwceYy"
3/15/2024 9:51:21,9492,https://drive.google.com/open?id=1YKDJSywc3rWRrZnjFOR5qqo673kHgf00
3/15/2024 9:51:48,7271,https://drive.google.com/open?id=1ZRVHGzVq0L9TAP1OPTPuNKT2SFF7vjVu