Timestamp,Divisions,Team Number (OF THE TEAM YOU'RE TAKING THE PICTURE OF),Photo (clear view; no people blocking please; MAKE SURE THE ROBOT MATCHES WITH THE NUMBER YOU PUT ABOVE)
4/4/2024 8:38:14,Mercury,5892,https://drive.google.com/open?id=1us6HdhRT6ilTgyLi_k7N7dQeitYM5i2n
4/4/2024 8:38:27,Apollo,8749,https://drive.google.com/open?id=1bU2-sIs3ND3LQjEJVO-Y6kt6Ayr-8Bal
4/4/2024 8:42:30,Apollo,8858,https://drive.google.com/open?id=1eT9-DeLF4gpkvug2oI-e0liTqHZtPsP-
4/4/2024 8:42:37,Apollo,6369,https://drive.google.com/open?id=1lO3_C4cdZ4bX-cJhU3JbwMVwpISsz24d
4/4/2024 8:46:02,Apollo,9512,https://drive.google.com/open?id=1SKaKtvg-x6qvdveeo4II5WzoNu5YGjOQ
4/4/2024 8:48:33,Mercury,6672,https://drive.google.com/open?id=1ys1RGaC5ZTiDxRTGEuZx5C6doVJ8acWr
4/4/2024 8:48:35,Apollo,8874,https://drive.google.com/open?id=1CxBEZl7csGgmGFdbO2AwFnj45bwe75MV
4/4/2024 8:50:46,Apollo,6488,https://drive.google.com/open?id=1Y_0ZOw7rA0WBZLRQMy7K_nnWdTGYzrx7
4/4/2024 8:51:59,Apollo,5572,https://drive.google.com/open?id=1Qbc52lsVSepz58ZhGrYKLM_Hvn4a0byt
4/4/2024 8:52:42,Apollo,6800,https://drive.google.com/open?id=1U9FRmrfT75Bxx8sGl2f7Y1Bo65yh7BQ6
4/4/2024 8:53:16,Mercury,7312,https://drive.google.com/open?id=1szGA_xNI44hxTFVaGGHAXAztsEgKxcsa
4/4/2024 8:54:42,Apollo,7115,https://drive.google.com/open?id=1ZRX-TO994eOm_uz_TLgDc-sJiGBGZkr3
4/4/2024 8:57:38,Mercury,9140,https://drive.google.com/open?id=1ruWzvkKSYqw2TzBtRRlm0VNRlZorRMUP
4/4/2024 8:58:37,Apollo,2848,https://drive.google.com/open?id=15l28RyB2T7f4pbOVlCX9ul-fhQlYSrj4
4/4/2024 8:59:55,Apollo,2882,https://drive.google.com/open?id=1OaRwDiOGwBIfetkCucSlocqsMUMJNa-V
4/4/2024 8:59:57,Apollo,8088,https://drive.google.com/open?id=1tT2hUL2yb6T9L93KN1vtRZ19_koglGW0
4/4/2024 9:00:25,Apollo,3310,https://drive.google.com/open?id=1j2jiK_o9CA0okeO5lmz2wrPvZrRIc0zZ
4/4/2024 9:01:01,Apollo,3679,https://drive.google.com/open?id=195lyjx2fU0UEBKRzE34aOp1rC_5lbATR
4/4/2024 9:01:13,Apollo,6645,https://drive.google.com/open?id=11H1FlCQbj3QnGZfL8kc0Aexb5s-USMjn
4/4/2024 9:01:31,Apollo,9181,https://drive.google.com/open?id=1FE1Dx3x9p6TvVZKonYiuIWvdT4uRFJjT
4/4/2024 9:02:56,Mercury,6672,https://drive.google.com/open?id=1GVCr5s98ubBWHDy2bf80TUZ9PxUz4XPa
4/4/2024 9:03:15,Apollo,148,https://drive.google.com/open?id=14iXplD4Wz49keV8Bq-bUomj3-a6A-WMu
4/4/2024 9:03:48,Apollo,6768,https://drive.google.com/open?id=1_xkQ_SHOG_UCYZCxaTWrhiY9RDIBEuJG
4/4/2024 9:03:52,Apollo,324,https://drive.google.com/open?id=1IrKt3A_5GrjLRug5oMcGDDI249VBBjZF
4/4/2024 9:05:28,Apollo,624,https://drive.google.com/open?id=1bt7efPkNIaBVxbr-AvIMLtlS2eKMV8hN
4/4/2024 9:05:49,Apollo,9786,https://drive.google.com/open?id=1TITki0nV5Ho-Fw4CAI1MpROmVGRze-r3
4/4/2024 9:06:24,Apollo,1296,https://drive.google.com/open?id=1MwXSptY1MRuH0Zlhk1Awzb2LQB705EAg
4/4/2024 9:08:11,Apollo,2714,https://drive.google.com/open?id=1kEgvBSz9tNn49yNYd0w1YI4Tq1Zq0Oqh
4/4/2024 9:08:42,Apollo,9121,https://drive.google.com/open?id=1OZEp917ulDyGgoLGvXcNGImXa32kYppu
4/4/2024 9:10:28,Apollo,9080,https://drive.google.com/open?id=19iyLUesOfqKOB4c7AyknKrJDNDmlStmK
4/4/2024 9:35:10,Mercury,118,https://drive.google.com/open?id=1fkbxlyfzfSiJrHtOOe7Bz302qIYwM0h9
4/4/2024 9:35:40,Mercury,231,https://drive.google.com/open?id=1r044jspYs4JNjztJ6NPeclwX8MAFqJFe
4/4/2024 9:36:33,Mercury,1745,https://drive.google.com/open?id=17jqbAFm9NMggJI0egGgGuipc4a9lo3VQ
4/4/2024 9:37:45,Mercury,9128,https://drive.google.com/open?id=1Njn9Bm6o8PCs7LZDc6U3g9p_5CVARGAu
4/4/2024 9:44:16,Apollo,5431,https://drive.google.com/open?id=1GnI3WIvkel1MU8NIAITz8K2S9uAFcOvU
4/4/2024 9:46:03,Apollo,5414,https://drive.google.com/open?id=14f8a9B5VIO_x265naptiasL_YxyvUN_9
4/4/2024 9:46:06,Mercury,3561,"https://drive.google.com/open?id=1o1l7j_SIx8mmvgG18gocVsx2TCMa4oMP, https://drive.google.com/open?id=1u5hp1WgcYPzPPCz36RpGVawjUAzjXIy5, https://drive.google.com/open?id=1BXT4_Qms-wLkN6RxmtHhZYApDZbnrQ30"
4/4/2024 9:46:56,Mercury,3676,"https://drive.google.com/open?id=1LgNTDo9usuFOf8FP-KdURxqNSzui5Ab2, https://drive.google.com/open?id=1WSq93G7p8_J22itfMiCGWlXE2x9dGlvm, https://drive.google.com/open?id=1Idb4GYyahPE5XIojtOMExE-0Z_eF0iLQ, https://drive.google.com/open?id=1ROxVmO1EcFF8kbs0XPyPwKwR2ac7ghBO, https://drive.google.com/open?id=1opvvQAWBXdIqLK0M_mWOFY9F6njgjfdN"
4/4/2024 9:47:19,Apollo,5431,https://drive.google.com/open?id=1kBLj8UfP_-rbhhHY8CPpfS7U9Hn1pSj5
4/4/2024 9:47:27,Mercury,418,https://drive.google.com/open?id=1INKJIgjkcWNetOhKr-DmvGh7LpJHBO7l
4/4/2024 9:47:49,Mercury,1477,https://drive.google.com/open?id=1_cDmzqqCdNN_gPstrU5oz65teo0F5P9h
4/4/2024 9:47:58,Mercury,8732,https://drive.google.com/open?id=14GXuqZw8YOk9XMgr6rWlhTCPHXTA2qUw
4/4/2024 9:49:10,Mercury,8576,https://drive.google.com/open?id=1St0lp79YjXpLoBWmaUsktRaegYUKCIEY
4/4/2024 9:49:39,Mercury,9128,https://drive.google.com/open?id=1rWFWyCQlEToThCIoHOooZN7iKz56gUEr
4/4/2024 9:51:22,Mercury,8573,https://drive.google.com/open?id=1YKtooLooqUn9XmHL4nSK_uLkQT9mRj0F
4/4/2024 10:06:37,Mercury,3035,"https://drive.google.com/open?id=14QrK-yW1xiQmNjbot-PwtU5PkZF4YB7c, https://drive.google.com/open?id=1nlLA7dFUNeVcfES9nxaHVub5eS5ke4Vs, https://drive.google.com/open?id=1-T1sayNDONHJoEuJfRw2PrURK62S0FZw, https://drive.google.com/open?id=1w77akYViFJWXW5y2wXp5fSSVciWCAoBl, https://drive.google.com/open?id=1bkC-yN5xwjzgwG_p6ZDUZwe58X1BkEZ_"
4/4/2024 10:06:49,Mercury,9105,https://drive.google.com/open?id=1anByizsXAH7dBc8Jot6PoeoA9IXpwpEW
4/4/2024 10:14:46,Mercury,8598,https://drive.google.com/open?id=1Q4fJys70_1olWSEP0nD6GLexWXi4qOG8
4/4/2024 10:15:09,Apollo,5427,https://drive.google.com/open?id=1hG5y9ZJkpM7Sm34AY_2RqleayUuavdu8
4/4/2024 10:15:23,Mercury,9478,https://drive.google.com/open?id=1BwntHQgLrb-HMRx_LhRHrP9xShbVRneb
4/4/2024 10:17:09,Mercury,8370,https://drive.google.com/open?id=1e4uFRPJfwIP9adEevWs9OwDLOAnttKxq
4/4/2024 10:17:45,Mercury,8507,https://drive.google.com/open?id=1HB_-obHff2Z_JlXB4AvOfvqSV-mwdOEY
4/4/2024 10:19:55,Mercury,5411,"https://drive.google.com/open?id=1bPRMbV7Ce1qX0G6jF73fEohVbMFQl7cL, https://drive.google.com/open?id=1ezPQaK4mRsGknqlDqGGTBsG9cnlJ4QBJ, https://drive.google.com/open?id=1kbA6dJ0DYyj3DbgiZcd04G805YaXdoHF"
4/4/2024 10:20:52,Mercury,2881,"https://drive.google.com/open?id=1cqroJJju94jXGcm2o8IEmQcqlKmRgDYC, https://drive.google.com/open?id=1W0Xv2sYpx6OLPGmdP0YaBI9WDth4DY8P"
4/4/2024 10:21:42,Apollo,7121,https://drive.google.com/open?id=1zbc7_n9pI_dxU_2E9YgOmZJZo-Isv_Yk
4/4/2024 10:22:12,Apollo,5414,https://drive.google.com/open?id=13zRvLS_MvI0k8YiOgBK-FjmD1Gecfcei
4/4/2024 10:22:30,Apollo,7121,https://drive.google.com/open?id=1mMG62PG0LpVCmIw7i1brTCRujddFJDve
4/4/2024 10:23:58,Mercury,2158,https://drive.google.com/open?id=1SmgCsrUbKZZ8Kww9jm0lStjkBvLdSoK-
4/4/2024 10:24:52,Mercury,9752,https://drive.google.com/open?id=1ux2kr5ClraiWrs8yCuMuee8FVT-RPOP3
4/4/2024 10:25:41,Mercury,2582,https://drive.google.com/open?id=1ieGd37RR_YmTcbOomkn9mURz_BZ4QM11
4/4/2024 10:26:28,Mercury,3005,https://drive.google.com/open?id=1H06N9tKzghUi0xi8FG9_elb51Qd4m5Hx
4/4/2024 10:27:10,Mercury,9136,"https://drive.google.com/open?id=13KUW7H68KX2chzdGKic6FSv7oQl8fpM-, https://drive.google.com/open?id=1LuSiUjXvgJyq6spgJxQ0inBpeXJhQnRT"
4/4/2024 10:29:04,Mercury,4639,https://drive.google.com/open?id=1hBVITy3ac13kWmTchTOkIUfHqyMaWESI
4/4/2024 10:30:19,Mercury,4641,"https://drive.google.com/open?id=1RiEvb8ICN6J-WTztIjQ-kQwGC-t00HSu, https://drive.google.com/open?id=1BP-WPsVXZnqQgSzsLladrbCSMKtD6nAx, https://drive.google.com/open?id=1DYuDdShULyKRi2wK8WzsbaI2JQcb5GgI, https://drive.google.com/open?id=12v1N_EP2jUO7w1WGFN9vQywqv-DneL3e, https://drive.google.com/open?id=1swNZKjb8C081u6wXvjSczjGA4H7n3gCs"
4/4/2024 10:31:01,Mercury,5103,"https://drive.google.com/open?id=1oevHEEvzMX5z_e-SImBN28JMgTHHMcDr, https://drive.google.com/open?id=1S8hQoM_OqmJolP8aH4BTtwqOB9Ims4bH"
4/4/2024 10:34:29,Apollo,9054,https://drive.google.com/open?id=1eQF4B4nZyE3YNvMPWKn2ldwJvcfPa397
4/4/2024 10:34:39,Mercury,5411,"https://drive.google.com/open?id=1RmG6CtfFDJxm_NpcRL_eMX-fPW_eiKMk, https://drive.google.com/open?id=1dHhKfYyWNrErzoIPZof80yNNWHVHc0hV, https://drive.google.com/open?id=1i9NNve3kZuL2336HK4k2nLN_cjJEakbW"
4/4/2024 10:35:28,Mercury,5503,"https://drive.google.com/open?id=1bqg6wjwIR-oWRsyr6_Hjayi9wIi2aHFz, https://drive.google.com/open?id=17chwSVjMtuZTsJUUQAxouMArSWooPtJL"
4/4/2024 10:36:31,Mercury,5829,"https://drive.google.com/open?id=1xqXd_UYaSoHGysGiQzx49_yCxQAzLYIx, https://drive.google.com/open?id=1w0SKViO82oQD3gRfAGo6AVAobmv-XfSM, https://drive.google.com/open?id=1cNNmilxBDJ5OqDZmf7appMLv7yK647R6"
4/4/2024 10:37:21,Mercury,9492,https://drive.google.com/open?id=1QyPAOFbTNjMHP97bdnorLcEzl5aCc1lg
4/4/2024 10:38:41,Apollo,7121,https://drive.google.com/open?id=1b_SigNv7c0-bFsziVlV69aV6l5efbfzE
4/4/2024 10:40:02,Apollo,7691,https://drive.google.com/open?id=1nvT-uInGhQmC9UKP9U31QuRU-uVBEYSt
4/4/2024 10:40:17,Mercury,9407,"https://drive.google.com/open?id=1sqMkoOyqkT0XJC9SVxond9ZRgbneOZjB, https://drive.google.com/open?id=14B9QELghM2aIsAr1oX4Fm5AQCMifbkGW, https://drive.google.com/open?id=1DNQxdbGM2V2FPKfZbeZoa5EAtSoi-LyP"
4/4/2024 10:40:50,Apollo,8177,"https://drive.google.com/open?id=1t8SCh3qyK5iQuwSiPU5eRUPZ7HaUA0SL, https://drive.google.com/open?id=11j1abGo3QPSjNcDOtNA-_Ta2Am1pYOAY"
4/4/2024 10:44:19,Apollo,3847,https://drive.google.com/open?id=1TREDnXiBHj8LCSQsksuM_mhivGwQs06x